"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2026年06月19日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A2301","","B1101","","B1106","","C120110","","C210715","","C3101","","C3107","","C3401","","D2201","","H6133","","I5101","","#A03506","","#A05101","","#F01201","","#I0910103",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A2301_住民基本台帳人口（総数）【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","B1106_森林面積【ｈａ】","注釈","C120110_課税対象所得【千円】","注釈","C210715_事業所数（小売業）【所】","注釈","C3101_農業産出額【百万円】","注釈","C3107_耕地面積【ｈａ】","注釈","C3401_製造品出荷額等【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","H6133_百貨店、総合スーパー数【事業所】","注釈","I5101_病院数【施設】","注釈","#A03506_65歳以上人口割合【％】","注釈","#A05101_人口増減率【％】","注釈","#F01201_第1次産業就業者比率【％】","注釈","#I0910103_一般病院数（人口10万人当たり）【施設】","注釈"
"2023100000","2023年度","43507","熊本県 水上村","","***","","1,976","","19,096","","***","","1,847,542","","***","","***","","349","","2,095","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43510","熊本県 相良村","","***","","4,019","","9,454","","***","","3,959,385","","***","","***","","791","","10,837","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43511","熊本県 五木村","","***","","942","","25,292","","***","","1,059,426","","***","","***","","73","","407","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43512","熊本県 山江村","","***","","3,221","","12,119","","***","","3,126,712","","***","","***","","373","","501","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43513","熊本県 球磨村","","***","","2,786","","20,758","","***","","2,306,970","","***","","***","","549","","335","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43514","熊本県 あさぎり町","","***","","14,341","","15,956","","***","","15,097,485","","***","","***","","2,870","","20,937","","***","","***","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43531","熊本県 苓北町","","***","","6,409","","6,758","","***","","6,483,440","","***","","***","","600","","1,011","","***","","***","","3","","***","","***","","***","","***",""
"2022100000","2022年度","43100","熊本県 熊本市","","***","","731,476","","39,032","","***","","1,114,968,045","","***","","***","","10,900","","468,590","","0.70","","***","","91","","***","","***","","***","","***",""
"2022100000","2022年度","43101","熊本県 熊本市 中央区","","***","","176,120","","2,545","","***","","-","","***","","***","","-","","13,391","","-","","***","","35","","***","","***","","***","","***",""
"2022100000","2022年度","43102","熊本県 熊本市 東区","","***","","191,299","","5,019","","***","","-","","***","","***","","-","","86,273","","-","","***","","17","","***","","***","","***","","***",""
"2022100000","2022年度","43103","熊本県 熊本市 西区","","***","","89,954","","8,933","","***","","-","","***","","***","","-","","25,959","","-","","***","","8","","***","","***","","***","","***",""
"2022100000","2022年度","43104","熊本県 熊本市 南区","","***","","133,161","","11,001","","***","","-","","***","","***","","-","","150,603","","-","","***","","16","","***","","***","","***","","***",""
"2022100000","2022年度","43105","熊本県 熊本市 北区","","***","","140,942","","11,534","","***","","-","","***","","***","","-","","192,364","","-","","***","","15","","***","","***","","***","","***",""
"2022100000","2022年度","43202","熊本県 八代市","","***","","122,625","","68,129","","***","","146,924,386","","***","","***","","6,950","","303,458","","0.50","","***","","10","","***","","***","","***","","***",""
"2022100000","2022年度","43203","熊本県 人吉市","","***","","30,734","","21,055","","***","","34,616,858","","***","","***","","1,400","","19,260","","0.44","","***","","9","","***","","***","","***","","***",""
"2022100000","2022年度","43204","熊本県 荒尾市","","***","","50,415","","5,737","","***","","56,108,946","","***","","***","","1,300","","53,306","","0.48","","***","","5","","***","","***","","***","","***",""
"2022100000","2022年度","43205","熊本県 水俣市","","***","","22,709","","16,329","","***","","24,242,687","","***","","***","","853","","53,365","","0.37","","***","","7","","***","","***","","***","","***",""
"2022100000","2022年度","43206","熊本県 玉名市","","***","","64,066","","15,260","","***","","76,196,949","","***","","***","","6,150","","48,867","","0.44","","***","","4","","***","","***","","***","","***",""
"2022100000","2022年度","43208","熊本県 山鹿市","","***","","49,397","","29,969","","***","","52,541,061","","***","","***","","6,730","","77,023","","0.33","","***","","6","","***","","***","","***","","***",""
"2022100000","2022年度","43210","熊本県 菊池市","","***","","47,103","","27,685","","***","","53,540,279","","***","","***","","5,780","","182,653","","0.43","","***","","5","","***","","***","","***","","***",""
"2022100000","2022年度","43211","熊本県 宇土市","","***","","36,483","","7,430","","***","","42,730,596","","***","","***","","1,790","","135,594","","0.52","","***","","1","","***","","***","","***","","***",""
"2022100000","2022年度","43212","熊本県 上天草市","","***","","25,015","","12,667","","***","","25,772,285","","***","","***","","1,040","","13,244","","0.25","","***","","1","","***","","***","","***","","***",""
"2022100000","2022年度","43213","熊本県 宇城市","","***","","57,562","","18,867","","***","","65,551,124","","***","","***","","5,430","","135,328","","0.40","","***","","8","","***","","***","","***","","***",""
"2022100000","2022年度","43214","熊本県 阿蘇市","","***","","24,751","","37,630","","***","","28,004,179","","***","","***","","8,740","","116,707","","0.35","","***","","4","","***","","***","","***","","***",""
"2022100000","2022年度","43215","熊本県 天草市","","***","","75,101","","68,382","","***","","77,751,624","","***","","***","","4,700","","32,529","","0.28","","***","","14","","***","","***","","***","","***",""
"2022100000","2022年度","43216","熊本県 合志市","","***","","64,474","","5,319","","***","","88,260,987","","***","","***","","2,080","","696,320","","0.64","","***","","5","","***","","***","","***","","***",""
"2022100000","2022年度","43348","熊本県 美里町","","***","","9,062","","14,400","","***","","8,400,621","","***","","***","","1,120","","4,032","","0.23","","***","","2","","***","","***","","***","","***",""
"2022100000","2022年度","43364","熊本県 玉東町","","***","","5,241","","2,433","","***","","5,287,592","","***","","***","","735","","3,415","","0.30","","***","","0","","***","","***","","***","","***",""
"2022100000","2022年度","43367","熊本県 南関町","","***","","9,001","","6,892","","***","","8,882,910","","***","","***","","1,370","","148,407","","0.39","","***","","0","","***","","***","","***","","***",""
"2022100000","2022年度","43368","熊本県 長洲町","","***","","15,506","","1,944","","***","","16,716,007","","***","","***","","670","","162,485","","0.52","","***","","1","","***","","***","","***","","***",""
"2022100000","2022年度","43369","熊本県 和水町","","***","","9,303","","9,878","","***","","9,212,737","","***","","***","","1,930","","29,060","","0.25","","***","","1","","***","","***","","***","","***",""
"2022100000","2022年度","43403","熊本県 大津町","","***","","36,030","","9,910","","***","","50,926,569","","***","","***","","2,170","","264,076","","0.73","","***","","1","","***","","***","","***","","***",""
"2022100000","2022年度","43404","熊本県 菊陽町","","***","","43,714","","3,746","","***","","71,756,694","","***","","***","","1,400","","201,257","","0.96","","***","","5","","***","","***","","***","","***",""
"2022100000","2022年度","43423","熊本県 南小国町","","***","","3,850","","11,590","","***","","3,782,891","","***","","***","","925","","1,016","","0.20","","***","","0","","***","","***","","***","","***",""
